,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
729,8358,39206,342,326,257,37,49,0.43,0.71,0.36,0.04,0.67,280,0.32,0.43,0.21,0.33,0.8,0.17,0.3787,2,NA,0.43,0.71,0.33,0.04,0.67,835800,2
730,8359,32279,621,487,766,149,88,0.47,0.79,0.22,0.02,0.65,627,0.18,0.59,0.1,0.08,0.94,0.11,0.3346,2,NA,0.59,0.79,0.08,0.02,0.65,835900,2
731,8360,39055,422,377,324,102,127,0.47,0.64,0.48,0.03,0.6,417,0.32,0.59,0.28,0.58,0.86,0.02,0.441,2,NA,0.59,0.64,0.58,0.03,0.6,836000,2
732,8361,17032,383,302,201,65,32,0.41,0.85,0.25,0.04,0.65,445,0.02,0.34,0.02,0.11,0.8,0.11,0.2344,1,NA,0.34,0.85,0.11,0.04,0.65,836100,1
733,8362,110381,4,9,27,50,175,0.89,0.14,0.56,0.38,0.85,34,0.97,1,0.97,0.7,0.49,0.78,0.8151,4,NA,1,0.14,0.7,0.38,0.85,836200,4
734,8363,37136,73,91,347,170,224,0.68,0.45,0.37,0.12,0.64,122,0.26,0.95,0.4,0.35,0.65,0.09,0.4476,2,NA,0.95,0.45,0.35,0.12,0.64,836300,2
735,8364,44619,712,371,526,161,164,0.46,0.73,0.29,0.03,0.58,622,0.45,0.54,0.19,0.18,0.86,0.01,0.3715,2,NA,0.54,0.73,0.18,0.03,0.58,836400,2
736,8365,24520,343,227,233,19,23,0.4,0.83,0.13,0.05,0.54,341,0.07,0.29,0.04,0.02,0.75,0,0.1949,1,NA,0.29,0.83,0.02,0.05,0.54,836500,1
737,8366,33191,823,395,435,90,41,0.39,0.59,0.34,0.47,0.73,567,0.2,0.23,0.31,0.29,0.42,0.3,0.292,1,NA,0.23,0.59,0.29,0.47,0.73,836600,1
738,8367,46154,712,365,166,98,7,0.35,0.82,0.27,0.03,0.77,565,0.48,0.11,0.06,0.14,0.86,0.38,0.3372,2,NA,0.11,0.82,0.14,0.03,0.77,836700,2
739,8368,27588,593,375,477,83,29,0.42,0.82,0.18,0.06,0.76,567,0.1,0.39,0.06,0.04,0.71,0.35,0.2753,1,NA,0.39,0.82,0.04,0.06,0.76,836800,1
740,8369,23725,339,133,179,114,23,0.43,0.78,0.28,0.04,0.79,338,0.06,0.43,0.12,0.15,0.8,0.48,0.341,2,NA,0.43,0.78,0.15,0.04,0.79,836900,2
741,8370,26769,566,382,194,52,54,0.38,0.8,0.23,0.02,0.82,446,0.09,0.2,0.1,0.09,0.94,0.63,0.3402,2,NA,0.2,0.8,0.09,0.02,0.82,837000,2
742,8371,36467,429,247,390,59,33,0.43,0.6,0.3,0.08,0.82,306,0.25,0.43,0.3,0.21,0.68,0.63,0.4168,2,NA,0.43,0.6,0.21,0.08,0.82,837100,2
743,8373,43947,592,382,348,98,9,0.4,0.79,0.37,0.04,0.6,491,0.43,0.29,0.1,0.35,0.8,0.02,0.3334,2,NA,0.29,0.79,0.35,0.04,0.6,837300,2
744,8374,33687,594,366,310,59,7,0.38,0.71,0.28,0.03,0.81,501,0.2,0.2,0.21,0.15,0.86,0.58,0.3677,2,NA,0.2,0.71,0.15,0.03,0.81,837400,2
745,8378,26095,868,472,271,78,48,0.37,0.74,0.24,0.05,0.8,512,0.08,0.16,0.18,0.1,0.75,0.54,0.301,1,NA,0.16,0.74,0.1,0.05,0.8,837800,1
746,8380,27581,826,364,449,56,68,0.39,0.7,0.27,0.06,0.75,365,0.1,0.23,0.23,0.14,0.71,0.33,0.29,1,NA,0.23,0.7,0.14,0.06,0.75,838000,1
747,8381,58130,692,224,178,149,166,0.44,0.49,0.14,0.21,0.72,97,0.73,0.48,0.37,0.03,0.6,0.28,0.4133,2,NA,0.48,0.49,0.03,0.21,0.72,838100,2
748,8382,70658,136,108,136,156,179,0.64,0.24,0.35,0.37,0.79,107,0.88,0.93,0.83,0.31,0.49,0.48,0.654,4,NA,0.93,0.24,0.31,0.37,0.79,838200,4
749,8383,15733,280,195,212,176,65,0.5,0.71,0.11,0.13,0.66,153,0.02,0.71,0.21,0.01,0.65,0.15,0.2906,1,NA,0.71,0.71,0.01,0.13,0.66,838300,1
750,8386,7255,466,258,154,15,0,0.34,0.86,0.14,0.03,0.64,338,0,0.08,0.02,0.03,0.86,0.09,0.1781,1,NA,0.08,0.86,0.03,0.03,0.64,838600,1
751,8387,21722,926,851,509,87,30,0.39,0.81,0.19,0.03,0.61,"1,130",0.05,0.23,0.07,0.05,0.86,0.03,0.2173,1,NA,0.23,0.81,0.05,0.03,0.61,838700,1
752,8388,41251,704,484,560,78,20,0.41,0.71,0.38,0.4,0.68,795,0.37,0.34,0.21,0.39,0.48,0.19,0.3316,2,NA,0.34,0.71,0.39,0.4,0.68,838800,2
753,8390,142406,274,362,838,"1,936","1,869",0.78,0.22,0.48,0.17,0.91,225,0.98,0.98,0.87,0.58,0.62,0.95,0.8315,4,NA,0.98,0.22,0.58,0.17,0.91,839000,4
754,8391,210083,274,566,816,791,792,0.68,0.25,0.37,0.17,0.91,49,1,0.95,0.8,0.35,0.62,0.95,0.7786,4,NA,0.95,0.25,0.35,0.17,0.91,839100,4
755,8392,47487,265,259,563,428,343,0.63,0.68,0.4,0.12,0.73,222,0.52,0.92,0.25,0.44,0.65,0.3,0.5123,3,NA,0.92,0.68,0.44,0.12,0.73,839200,3
756,8395,104238,430,321,320,194,101,0.49,0.47,0.38,0.15,0.84,126,0.96,0.68,0.38,0.39,0.64,0.75,0.6335,3,NA,0.68,0.47,0.39,0.15,0.84,839500,3
757,8396,51665,518,287,447,123,127,0.47,0.56,0.37,0.05,0.69,253,0.6,0.59,0.34,0.35,0.75,0.22,0.4762,3,NA,0.59,0.56,0.35,0.05,0.69,839600,3
758,8397,52537,"1,221",791,508,265,113,0.41,0.39,0.39,0.6,0.79,658,0.62,0.34,0.47,0.41,0.31,0.48,0.4389,2,NA,0.34,0.39,0.41,0.6,0.79,839700,2
759,8398,49342,559,607,355,203,190,0.48,0.35,0.35,0.41,0.88,333,0.55,0.64,0.55,0.31,0.47,0.88,0.569,3,NA,0.64,0.35,0.31,0.41,0.88,839800,3
760,8399,73705,756,953,614,297,167,0.47,0.37,0.5,0.31,0.81,546,0.9,0.59,0.52,0.62,0.54,0.58,0.6232,3,NA,0.59,0.37,0.62,0.31,0.81,839900,3
761,8400,82560,493,433,478,341,133,0.51,0.22,0.59,0.4,0.86,410,0.93,0.73,0.87,0.74,0.48,0.81,0.7602,4,NA,0.73,0.22,0.74,0.4,0.86,840000,4
762,8401,32871,899,547,266,112,90,0.39,0.25,0.37,0.51,0.89,421,0.19,0.23,0.8,0.35,0.4,0.91,0.4809,3,NA,0.23,0.25,0.35,0.51,0.89,840100,3
763,8402,41734,604,302,315,208,141,0.47,0.24,0.53,0.59,0.83,363,0.38,0.59,0.83,0.66,0.33,0.7,0.5809,3,NA,0.59,0.24,0.66,0.59,0.83,840200,3
