,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
1,101,47178,747,665,971,506,442,0.55,0.65,0.22,0.2,0.7,707,0.51,0.82,0.27,0.08,0.6,0.24,0.42,2,NA,0.82,0.65,0.08,0.2,0.7,10100,2
2,102.01,41762,"1,297",822,"1,011",633,350,0.5,0.44,0.37,0.45,0.78,"1,140",0.38,0.71,0.4,0.35,0.44,0.43,0.4517,2,NA,0.71,0.44,0.35,0.45,0.78,10201,2
3,102.02,59544,733,401,414,263,150,0.47,0.37,0.29,0.45,0.74,394,0.74,0.59,0.52,0.18,0.44,0.31,0.4637,3,NA,0.59,0.37,0.18,0.45,0.74,10202,3
4,103,46054,"1,019",774,"1,147","1,003",751,0.59,0.41,0.33,0.28,0.73,572,0.48,0.87,0.44,0.27,0.55,0.3,0.4863,3,NA,0.87,0.41,0.27,0.28,0.73,10300,3
5,104,54686,423,276,632,666,664,0.67,0.35,0.26,0.38,0.8,259,0.68,0.95,0.55,0.13,0.49,0.54,0.554,3,NA,0.95,0.35,0.13,0.38,0.8,10400,3
6,105.01,20074,561,613,714,679,444,0.59,0.43,0.21,0.4,0.79,326,0.04,0.87,0.41,0.07,0.48,0.48,0.3909,2,NA,0.87,0.43,0.07,0.4,0.79,10501,2
7,105.02,36678,388,424,493,470,308,0.59,0.36,0.22,0.4,0.81,181,0.25,0.87,0.54,0.08,0.48,0.58,0.4652,3,NA,0.87,0.36,0.08,0.4,0.81,10502,3
8,105.03,62748,289,315,368,350,229,0.59,0.34,0.16,0.4,0.8,82,0.79,0.87,0.58,0.04,0.48,0.54,0.5485,3,NA,0.87,0.34,0.04,0.4,0.8,10503,3
9,106,52987,913,746,915,"1,061",670,0.59,0.38,0.33,0.4,0.8,581,0.64,0.87,0.49,0.27,0.48,0.54,0.548,3,NA,0.87,0.38,0.27,0.4,0.8,10600,3
10,107.01,49142,488,672,595,474,358,0.56,0.32,0.46,0.54,0.86,635,0.55,0.84,0.62,0.55,0.37,0.81,0.624,3,NA,0.84,0.32,0.55,0.54,0.86,10701,3
11,107.02,32380,"1,285",778,513,399,210,0.44,0.35,0.3,0.54,0.8,851,0.18,0.48,0.55,0.21,0.37,0.54,0.3879,2,NA,0.48,0.35,0.21,0.54,0.8,10702,2
12,201,52680,424,520,779,586,330,0.59,0.39,0.46,0.47,0.86,694,0.63,0.87,0.47,0.55,0.42,0.81,0.6251,3,NA,0.87,0.39,0.55,0.47,0.86,20100,3
13,202,65560,502,811,"1,038","1,158",790,0.64,0.16,0.77,0.45,0.88,"1,392",0.82,0.93,0.94,0.88,0.44,0.88,0.8167,4,NA,0.93,0.16,0.88,0.45,0.88,20200,4
14,203.01,53278,426,663,818,728,552,0.62,0.13,0.79,0.4,0.82,878,0.64,0.91,0.98,0.91,0.48,0.63,0.7565,4,NA,0.91,0.13,0.91,0.4,0.82,20301,4
15,203.02,72162,498,590,577,828,740,0.64,0.25,0.59,0.4,0.87,767,0.89,0.93,0.8,0.74,0.48,0.86,0.7814,4,NA,0.93,0.25,0.74,0.4,0.87,20302,4
16,204,61641,464,621,589,813,379,0.6,0.25,0.52,0.42,0.86,727,0.77,0.9,0.8,0.64,0.46,0.81,0.7326,4,NA,0.9,0.25,0.64,0.42,0.86,20400,4
17,205,44210,"1,103",752,920,816,463,0.54,0.3,0.32,0.73,0.85,"1,116",0.44,0.79,0.69,0.24,0.2,0.78,0.525,3,NA,0.79,0.3,0.24,0.73,0.85,20500,3
18,206.01,42398,733,744,900,"1,023",480,0.59,0.18,0.39,0.58,0.83,"1,247",0.39,0.87,0.93,0.41,0.34,0.7,0.608,3,NA,0.87,0.18,0.41,0.58,0.83,20601,3
19,206.02,64867,568,587,709,602,369,0.57,0.21,0.46,0.58,0.85,778,0.8,0.86,0.89,0.55,0.34,0.78,0.7016,4,NA,0.86,0.21,0.55,0.58,0.85,20602,4
20,207.01,58683,140,267,344,286,207,0.62,0.2,0.64,0.66,0.89,284,0.73,0.91,0.9,0.78,0.26,0.91,0.7498,4,NA,0.91,0.2,0.78,0.66,0.89,20701,4
21,207.02,57853,988,"1,318","1,028",912,469,0.54,0.23,0.4,0.66,0.84,"1,245",0.72,0.79,0.85,0.44,0.26,0.75,0.6347,4,NA,0.79,0.23,0.44,0.66,0.84,20702,4
22,208.01,52673,768,786,871,852,458,0.57,0.32,0.43,0.66,0.89,856,0.62,0.86,0.62,0.5,0.26,0.91,0.6295,3,NA,0.86,0.32,0.5,0.66,0.89,20801,3
23,208.02,51632,"1,019","1,016",982,964,453,0.55,0.27,0.35,0.66,0.86,"1,276",0.6,0.82,0.77,0.31,0.26,0.81,0.5966,3,NA,0.82,0.27,0.31,0.66,0.86,20802,3
24,209.01,40310,941,806,668,673,292,0.52,0.35,0.37,0.68,0.87,936,0.35,0.76,0.55,0.35,0.24,0.86,0.518,3,NA,0.76,0.35,0.35,0.68,0.87,20901,3
25,209.02,45065,628,981,690,498,244,0.52,0.24,0.57,0.68,0.87,592,0.46,0.76,0.83,0.71,0.24,0.86,0.6433,4,NA,0.76,0.24,0.71,0.68,0.87,20902,4
26,301.01,68869,496,469,720,804,520,0.63,0.37,0.37,0.48,0.86,273,0.86,0.92,0.52,0.35,0.42,0.81,0.6462,4,NA,0.92,0.37,0.35,0.48,0.86,30101,4
27,301.02,69903,344,457,702,614,410,0.62,0.31,0.43,0.48,0.86,171,0.87,0.91,0.65,0.5,0.42,0.81,0.6946,4,NA,0.91,0.31,0.5,0.48,0.86,30102,4
28,301.03,21731,135,206,372,327,174,0.63,0.19,0.27,0.48,0.86,49,0.05,0.92,0.92,0.14,0.42,0.81,0.543,3,NA,0.92,0.19,0.14,0.48,0.86,30103,3
29,301.04,44807,140,220,426,437,313,0.67,0.29,0.35,0.48,0.86,112,0.45,0.95,0.71,0.31,0.42,0.81,0.6097,3,NA,0.95,0.29,0.31,0.48,0.86,30104,3
30,302,65588,393,650,753,"1,268",907,0.68,0.24,0.5,0.3,0.87,583,0.82,0.95,0.83,0.62,0.54,0.86,0.7679,4,NA,0.95,0.24,0.62,0.3,0.87,30200,4
31,303,71235,608,594,489,434,188,0.51,0.32,0.32,0.58,0.87,463,0.88,0.73,0.62,0.24,0.34,0.86,0.6124,3,NA,0.73,0.32,0.24,0.58,0.87,30300,3
32,304,65622,407,404,408,543,218,0.58,0.34,0.41,0.58,0.86,308,0.82,0.87,0.58,0.46,0.34,0.81,0.6457,4,NA,0.87,0.34,0.46,0.58,0.86,30400,4
33,305,58625,"1,055",920,"1,107","1,095",691,0.58,0.28,0.4,0.46,0.86,577,0.73,0.87,0.74,0.44,0.43,0.81,0.6693,4,NA,0.87,0.28,0.44,0.46,0.86,30500,4
34,306.01,48582,516,745,729,694,459,0.59,0.4,0.37,0.46,0.86,286,0.53,0.87,0.46,0.35,0.43,0.81,0.5766,3,NA,0.87,0.4,0.35,0.46,0.86,30601,3
35,306.03,24621,343,330,404,314,210,0.56,0.35,0.09,0.46,0.86,156,0.07,0.84,0.55,0.01,0.43,0.81,0.4525,2,NA,0.84,0.35,0.01,0.46,0.86,30603,2
36,306.04,43613,476,509,569,536,373,0.59,0.29,0.28,0.46,0.86,136,0.42,0.87,0.71,0.15,0.43,0.81,0.5678,3,NA,0.87,0.29,0.15,0.46,0.86,30604,3
37,307.01,58885,272,180,370,240,166,0.58,0.46,0.19,0.41,0.85,83,0.73,0.87,0.39,0.05,0.47,0.78,0.5477,3,NA,0.87,0.46,0.05,0.41,0.85,30701,3
38,307.02,40370,126,268,331,363,301,0.66,0.32,0.62,0.41,0.85,64,0.35,0.94,0.62,0.76,0.47,0.78,0.654,4,NA,0.94,0.32,0.76,0.41,0.85,30702,4
39,307.03,21070,413,390,599,526,405,0.61,0.38,0.28,0.41,0.85,151,0.04,0.91,0.49,0.15,0.47,0.78,0.4724,3,NA,0.91,0.38,0.15,0.41,0.85,30703,3
40,307.06,71415,360,585,750,772,547,0.64,0.43,0.36,0.41,0.85,178,0.88,0.93,0.41,0.33,0.47,0.78,0.6332,3,NA,0.93,0.43,0.33,0.41,0.85,30706,3
41,308,76915,428,566,520,"1,189",703,0.67,0.19,0.41,0.26,0.85,384,0.91,0.95,0.92,0.46,0.57,0.78,0.7631,4,NA,0.95,0.19,0.46,0.26,0.85,30800,4
42,309,66215,507,435,410,553,398,0.59,0.29,0.42,0.44,0.81,267,0.83,0.87,0.71,0.47,0.45,0.58,0.653,4,NA,0.87,0.29,0.47,0.44,0.81,30900,4
43,310,62214,525,358,512,955,470,0.63,0.24,0.39,0.4,0.79,278,0.78,0.92,0.83,0.41,0.48,0.48,0.6497,4,NA,0.92,0.24,0.41,0.4,0.79,31000,4
44,311,66298,797,508,769,880,507,0.59,0.28,0.27,0.49,0.78,222,0.83,0.87,0.74,0.14,0.41,0.43,0.5695,3,NA,0.87,0.28,0.14,0.49,0.78,31100,3
45,312,31618,"1,722",952,921,460,208,0.43,0.43,0.2,0.51,0.8,600,0.17,0.43,0.41,0.06,0.4,0.54,0.3346,2,NA,0.43,0.43,0.06,0.51,0.8,31200,2
46,313,60885,"1,040",943,"1,258","1,199","1,046",0.61,0.33,0.37,0.41,0.8,597,0.76,0.91,0.59,0.35,0.47,0.54,0.6029,3,NA,0.91,0.33,0.35,0.41,0.8,31300,3
47,314,105337,264,365,"1,123","1,530","1,206",0.74,0.29,0.58,0.21,0.77,141,0.96,0.97,0.71,0.72,0.6,0.38,0.7243,4,NA,0.97,0.29,0.72,0.21,0.77,31400,4
48,315.01,23456,"1,088",684,594,325,318,0.47,0.42,0.17,0.49,0.76,435,0.06,0.59,0.42,0.04,0.41,0.35,0.3124,1,NA,0.59,0.42,0.04,0.49,0.76,31501,1
49,315.02,24800,987,545,882,483,184,0.49,0.56,0.13,0.49,0.76,542,0.07,0.68,0.34,0.02,0.41,0.35,0.3123,1,NA,0.68,0.56,0.02,0.49,0.76,31502,1
50,317,36790,"1,285",674,967,"1,329",619,0.57,0.39,0.34,0.37,0.82,521,0.25,0.86,0.47,0.29,0.49,0.63,0.4981,3,NA,0.86,0.39,0.29,0.37,0.82,31700,3
51,318,96835,321,237,242,352,230,0.59,0.2,0.41,0.49,0.82,133,0.95,0.87,0.9,0.46,0.41,0.63,0.7043,4,NA,0.87,0.2,0.46,0.49,0.82,31800,4
52,319,71394,276,208,329,549,408,0.67,0.33,0.39,0.38,0.8,195,0.88,0.95,0.59,0.41,0.49,0.54,0.6425,4,NA,0.95,0.33,0.41,0.38,0.8,31900,4
53,321,48304,"1,041",635,"1,208","1,787","1,012",0.64,0.36,0.27,0.35,0.76,383,0.53,0.93,0.54,0.14,0.51,0.35,0.4986,3,NA,0.93,0.36,0.14,0.35,0.76,32100,3
54,401,55230,732,719,601,534,330,0.53,0.23,0.45,0.49,0.83,472,0.68,0.78,0.85,0.53,0.41,0.7,0.6595,4,NA,0.78,0.23,0.53,0.49,0.83,40100,4
55,402.01,49114,"1,239",999,"1,016",928,471,0.53,0.28,0.38,0.68,0.87,611,0.54,0.78,0.74,0.39,0.24,0.86,0.5911,3,NA,0.78,0.28,0.39,0.68,0.87,40201,3
56,402.02,46803,"1,532","1,224","1,083",927,359,0.5,0.28,0.37,0.68,0.88,937,0.49,0.71,0.74,0.35,0.24,0.88,0.5684,3,NA,0.71,0.28,0.35,0.68,0.88,40202,3
57,403,62127,358,507,505,528,285,0.59,0.16,0.62,0.55,0.88,440,0.78,0.87,0.94,0.76,0.36,0.88,0.7672,4,NA,0.87,0.16,0.76,0.55,0.88,40300,4
58,404.01,48318,349,532,379,578,484,0.63,0.19,0.49,0.46,0.85,359,0.53,0.92,0.92,0.6,0.43,0.78,0.6964,4,NA,0.92,0.19,0.6,0.46,0.85,40401,4
59,404.02,59440,615,476,696,"1,110",515,0.63,0.22,0.33,0.47,0.82,335,0.74,0.92,0.87,0.27,0.42,0.63,0.6427,4,NA,0.92,0.22,0.27,0.47,0.82,40402,4
60,406,69184,311,340,346,664,232,0.62,0.16,0.27,0.34,0.83,194,0.86,0.91,0.94,0.14,0.51,0.7,0.6792,4,NA,0.91,0.16,0.14,0.34,0.83,40600,4
61,407,73890,472,308,398,702,480,0.63,0.17,0.42,0.46,0.85,263,0.9,0.92,0.93,0.47,0.43,0.78,0.7389,4,NA,0.92,0.17,0.47,0.46,0.85,40700,4
62,408,58828,144,196,339,319,207,0.64,0.22,0.41,0.34,0.85,111,0.73,0.93,0.87,0.46,0.51,0.78,0.7137,4,NA,0.93,0.22,0.46,0.34,0.85,40800,4
63,409,57803,248,280,351,400,213,0.61,0.18,0.3,0.39,0.82,182,0.72,0.91,0.93,0.21,0.49,0.63,0.6446,4,NA,0.91,0.18,0.21,0.39,0.82,40900,4
64,501,72117,241,271,282,555,293,0.65,0.18,0.36,0.27,0.86,174,0.88,0.94,0.93,0.33,0.56,0.81,0.7416,4,NA,0.94,0.18,0.33,0.27,0.86,50100,4
65,502,119082,577,742,805,"1,047",509,0.61,0.13,0.45,0.27,0.89,510,0.98,0.91,0.98,0.53,0.56,0.91,0.8109,4,NA,0.91,0.13,0.53,0.27,0.89,50200,4
66,503,74654,349,339,390,486,224,0.59,0.25,0.5,0.37,0.87,278,0.9,0.87,0.8,0.62,0.49,0.86,0.7576,4,NA,0.87,0.25,0.62,0.37,0.87,50300,4
67,505,83752,334,621,846,"1,064",610,0.66,0.2,0.45,0.18,0.91,715,0.94,0.94,0.9,0.53,0.61,0.95,0.8129,4,NA,0.94,0.2,0.53,0.18,0.91,50500,4
68,506,74748,87,266,314,634,290,0.7,0.18,0.5,0.17,0.9,165,0.9,0.96,0.93,0.62,0.62,0.94,0.8275,4,NA,0.96,0.18,0.62,0.17,0.9,50600,4
69,507,103300,109,129,173,387,276,0.71,0.11,0.63,0.13,0.89,137,0.96,0.97,1,0.77,0.65,0.91,0.8758,4,NA,0.97,0.11,0.77,0.13,0.89,50700,4
70,508,80274,138,148,172,330,147,0.64,0.15,0.48,0.24,0.92,161,0.93,0.93,0.96,0.58,0.58,0.97,0.8224,4,NA,0.93,0.15,0.58,0.24,0.92,50800,4
71,509,78934,225,152,177,316,160,0.61,0.22,0.38,0.35,0.91,147,0.92,0.91,0.87,0.39,0.51,0.95,0.7579,4,NA,0.91,0.22,0.39,0.35,0.91,50900,4
72,510,68270,136,129,139,561,190,0.69,0.12,0.48,0.24,0.92,134,0.85,0.95,0.99,0.58,0.58,0.97,0.819,4,NA,0.95,0.12,0.58,0.24,0.92,51000,4
73,511,106675,271,88,208,362,236,0.64,0.12,0.45,0.33,0.91,153,0.97,0.93,0.99,0.53,0.52,0.95,0.814,4,NA,0.93,0.12,0.53,0.33,0.91,51100,4
74,512,99985,101,143,265,350,295,0.7,0.13,0.41,0.24,0.85,137,0.95,0.96,0.98,0.46,0.58,0.78,0.7829,4,NA,0.96,0.13,0.46,0.24,0.85,51200,4
75,513,114025,124,201,334,733,497,0.74,0.13,0.66,0.17,0.86,309,0.97,0.97,0.98,0.8,0.62,0.81,0.8588,4,NA,0.97,0.13,0.8,0.17,0.86,51300,4
76,514,53038,449,287,311,255,164,0.52,0.19,0.52,0.36,0.85,220,0.64,0.76,0.92,0.64,0.5,0.78,0.7054,4,NA,0.76,0.19,0.64,0.36,0.85,51400,4
77,601,94485,203,87,258,755,556,0.75,0.15,0.5,0.22,0.86,265,0.95,0.98,0.96,0.62,0.59,0.81,0.8175,4,NA,0.98,0.15,0.62,0.22,0.86,60100,4
78,602,84895,130,267,381,588,322,0.68,0.18,0.32,0.32,0.8,236,0.94,0.95,0.93,0.24,0.52,0.54,0.686,4,NA,0.95,0.18,0.24,0.32,0.8,60200,4
79,603,85979,191,307,346,773,460,0.7,0.14,0.47,0.22,0.91,287,0.94,0.96,0.97,0.57,0.59,0.95,0.8289,4,NA,0.96,0.14,0.57,0.22,0.91,60300,4
80,604,100804,201,188,269,"1,048",556,0.74,0.13,0.43,0.17,0.93,325,0.96,0.97,0.98,0.5,0.62,0.98,0.8336,4,NA,0.97,0.13,0.5,0.17,0.93,60400,4
81,605,66850,227,127,122,306,150,0.61,0.09,0.26,0.32,0.92,93,0.83,0.91,1,0.13,0.52,0.97,0.7259,4,NA,0.91,0.09,0.13,0.32,0.92,60500,4
82,608,96821,136,275,798,"1,541",967,0.76,0.25,0.52,0.24,0.81,115,0.95,0.98,0.8,0.64,0.58,0.58,0.7557,4,NA,0.98,0.25,0.64,0.24,0.81,60800,4
83,609,106335,238,466,897,"1,971","1,240",0.75,0.26,0.4,0.24,0.85,202,0.97,0.98,0.78,0.44,0.58,0.78,0.753,4,NA,0.98,0.26,0.44,0.24,0.85,60900,4
84,610,120945,62,43,229,632,341,0.78,0.19,0.36,0.15,0.84,42,0.98,0.98,0.92,0.33,0.64,0.75,0.7648,4,NA,0.98,0.19,0.33,0.15,0.84,61000,4
85,611,74973,46,40,152,467,199,0.76,0.25,0.33,0.11,0.89,33,0.9,0.98,0.8,0.27,0.66,0.91,0.755,4,NA,0.98,0.25,0.27,0.11,0.89,61100,4
86,612,155987,13,83,120,730,296,0.8,0.14,0.32,0.12,0.92,75,0.99,0.99,0.97,0.24,0.65,0.97,0.8009,4,NA,0.99,0.14,0.24,0.12,0.92,61200,4
87,615,109323,79,85,138,757,347,0.77,0.2,0.34,0.1,0.89,66,0.97,0.98,0.9,0.29,0.67,0.91,0.7871,4,NA,0.98,0.2,0.29,0.1,0.89,61500,4
88,618,112824,95,116,251,357,308,0.72,0.03,0.29,0.12,0.89,35,0.97,0.97,1,0.18,0.65,0.91,0.7798,4,NA,0.97,0.03,0.18,0.12,0.89,61800,4
89,619.01,114183,122,302,485,"1,087",794,0.75,0.38,0.32,0.24,0.89,137,0.97,0.98,0.49,0.24,0.58,0.91,0.6956,4,NA,0.98,0.38,0.24,0.24,0.89,61901,4
90,619.02,163783,138,346,550,"1,236",900,0.75,0.22,0.34,0.24,0.89,110,0.99,0.98,0.87,0.29,0.58,0.91,0.7705,4,NA,0.98,0.22,0.29,0.24,0.89,61902,4
91,620,91188,37,93,272,"1,100",540,0.8,0.21,0.3,0.16,0.89,86,0.95,0.99,0.89,0.21,0.63,0.91,0.7626,4,NA,0.99,0.21,0.21,0.16,0.89,62000,4
92,621,83269,229,171,315,"1,115",589,0.74,0.22,0.29,0.15,0.89,66,0.93,0.97,0.87,0.18,0.64,0.91,0.7509,4,NA,0.97,0.22,0.18,0.15,0.89,62100,4
93,622,123080,118,43,203,934,539,0.79,0.08,0.45,0.11,0.89,86,0.98,0.99,1,0.53,0.66,0.91,0.8444,4,NA,0.99,0.08,0.53,0.11,0.89,62200,4
94,623,127045,97,41,143,503,277,0.75,0.1,0.4,0.18,0.87,125,0.98,0.98,1,0.44,0.61,0.86,0.8104,4,NA,0.98,0.1,0.44,0.18,0.87,62300,4
95,624,176164,86,69,147,632,208,0.74,0.05,0.45,0.14,0.9,102,0.99,0.97,1,0.53,0.65,0.94,0.8477,4,NA,0.97,0.05,0.53,0.14,0.9,62400,4
96,625,120270,191,79,111,520,197,0.68,0.14,0.47,0.17,0.92,83,0.98,0.95,0.97,0.57,0.62,0.97,0.8409,4,NA,0.95,0.14,0.57,0.17,0.92,62500,4
97,626,200253,82,102,229,890,291,0.75,0.12,0.59,0.18,0.93,267,1,0.98,0.99,0.74,0.61,0.98,0.8817,4,NA,0.98,0.12,0.74,0.18,0.93,62600,4
98,627,144296,199,139,290,787,506,0.73,0.14,0.41,0.2,0.91,188,0.99,0.97,0.97,0.46,0.6,0.95,0.822,4,NA,0.97,0.14,0.46,0.2,0.91,62700,4
99,628,109338,73,136,315,"1,232",734,0.79,0.08,0.42,0.13,0.89,209,0.97,0.99,1,0.47,0.65,0.91,0.8312,4,NA,0.99,0.08,0.47,0.13,0.89,62800,4
100,629,152550,48,159,273,"1,602",879,0.81,0.14,0.4,0.11,0.85,183,0.99,0.99,0.97,0.44,0.66,0.78,0.8032,4,NA,0.99,0.14,0.44,0.11,0.85,62900,4
101,630,117701,30,112,195,"1,270",605,0.81,0.12,0.29,0.21,0.88,94,0.97,0.99,0.99,0.18,0.6,0.88,0.7681,4,NA,0.99,0.12,0.18,0.21,0.88,63000,4
102,631,124444,69,98,261,804,419,0.77,0.14,0.31,0.18,0.89,80,0.98,0.98,0.97,0.22,0.61,0.91,0.779,4,NA,0.98,0.14,0.22,0.18,0.89,63100,4
103,632,100244,248,519,875,"2,161","1,437",0.75,0.18,0.32,0.21,0.89,217,0.95,0.98,0.93,0.24,0.6,0.91,0.7688,4,NA,0.98,0.18,0.24,0.21,0.89,63200,4
104,633.01,44787,103,123,233,855,501,0.77,0.23,0.18,0.18,0.89,53,0.45,0.98,0.85,0.04,0.61,0.91,0.642,4,NA,0.98,0.23,0.04,0.18,0.89,63301,4
105,633.02,114393,171,272,457,"1,421",963,0.77,0.18,0.35,0.18,0.89,127,0.97,0.98,0.93,0.31,0.61,0.91,0.7866,4,NA,0.98,0.18,0.31,0.18,0.89,63302,4
106,633.03,78386,47,105,158,404,327,0.77,0.21,0.53,0.18,0.89,17,0.92,0.98,0.89,0.66,0.61,0.91,0.828,4,NA,0.98,0.21,0.66,0.18,0.89,63303,4
107,634,120631,30,153,175,787,428,0.78,0.14,0.31,0.16,0.9,59,0.98,0.98,0.97,0.22,0.63,0.94,0.7868,4,NA,0.98,0.14,0.22,0.16,0.9,63400,4
108,701.01,224232,109,178,340,"1,305","1,020",0.8,0.18,0.4,0.18,0.93,130,1,0.99,0.93,0.44,0.61,0.98,0.8248,4,NA,0.99,0.18,0.44,0.18,0.93,70101,4
109,701.02,146503,92,112,212,833,609,0.79,0.18,0.29,0.19,0.91,51,0.99,0.99,0.93,0.18,0.61,0.95,0.7725,4,NA,0.99,0.18,0.18,0.19,0.91,70102,4
110,701.03,153541,16,81,154,565,500,0.82,0.28,0.15,0.18,0.92,42,0.99,0.99,0.74,0.03,0.61,0.97,0.7221,4,NA,0.99,0.28,0.03,0.18,0.92,70103,4
111,702,156479,118,88,170,"1,154",914,0.82,0.17,0.34,0.1,0.92,160,0.99,0.99,0.93,0.29,0.67,0.97,0.8069,4,NA,0.99,0.17,0.29,0.1,0.92,70200,4
112,703,126498,35,101,288,"1,258",673,0.81,0.09,0.45,0.1,0.88,144,0.98,0.99,1,0.53,0.67,0.88,0.8421,4,NA,0.99,0.09,0.53,0.1,0.88,70300,4
113,704,132408,321,202,238,880,631,0.71,0.14,0.4,0.17,0.82,185,0.98,0.97,0.97,0.44,0.62,0.63,0.7668,4,NA,0.97,0.14,0.44,0.17,0.82,70400,4
114,705,209965,295,162,152,861,625,0.73,0.11,0.47,0.14,0.82,225,1,0.97,1,0.57,0.65,0.63,0.8002,4,NA,0.97,0.11,0.57,0.14,0.82,70500,4
115,706,210392,150,126,182,971,715,0.78,0.13,0.65,0.2,0.81,384,1,0.98,0.98,0.79,0.6,0.58,0.8217,4,NA,0.98,0.13,0.79,0.2,0.81,70600,4
116,707,132701,418,335,336,676,510,0.65,0.19,0.56,0.27,0.82,355,0.98,0.94,0.92,0.7,0.56,0.63,0.7863,4,NA,0.94,0.19,0.7,0.27,0.82,70700,4
117,710,160503,65,48,114,707,692,0.84,0.1,0.42,0.13,0.82,178,0.99,1,1,0.47,0.65,0.63,0.789,4,NA,1,0.1,0.47,0.13,0.82,71000,4
118,711,213658,26,61,113,662,533,0.83,0.14,0.38,0.12,0.8,147,1,1,0.97,0.39,0.65,0.54,0.7567,4,NA,1,0.14,0.39,0.12,0.8,71100,4
119,712,211548,51,76,155,680,393,0.79,0.17,0.45,0.11,0.94,141,1,0.99,0.93,0.53,0.66,0.99,0.8498,4,NA,0.99,0.17,0.53,0.11,0.94,71200,4
120,713,128505,60,77,257,"1,134",954,0.83,0.14,0.48,0.12,0.94,294,0.98,1,0.97,0.58,0.65,0.99,0.8603,4,NA,1,0.14,0.58,0.12,0.94,71300,4
121,714,124747,236,204,592,"1,542","1,271",0.78,0.23,0.37,0.13,0.92,204,0.98,0.98,0.85,0.35,0.65,0.97,0.7948,4,NA,0.98,0.23,0.35,0.13,0.92,71400,4
122,715,126056,73,217,405,"2,105","1,639",0.83,0.23,0.39,0.12,0.93,271,0.98,1,0.85,0.41,0.65,0.98,0.8107,4,NA,1,0.23,0.41,0.12,0.93,71500,4
123,716,173198,45,73,74,517,416,0.81,0.12,0.57,0.14,0.93,203,0.99,0.99,0.99,0.71,0.65,0.98,0.8849,4,NA,0.99,0.12,0.71,0.14,0.93,71600,4
124,717,137825,66,67,140,527,409,0.79,0.22,0.57,0.07,0.95,223,0.98,0.99,0.87,0.71,0.69,1,0.8741,4,NA,0.99,0.22,0.71,0.07,0.95,71700,4
125,718,164614,49,60,215,800,554,0.81,0.22,0.55,0.07,0.93,358,0.99,0.99,0.87,0.69,0.69,0.98,0.8697,4,NA,0.99,0.22,0.69,0.07,0.93,71800,4
126,801,183352,44,286,740,"1,888","1,876",0.82,0.24,0.51,0.14,0.89,260,1,0.99,0.83,0.63,0.65,0.91,0.8336,4,NA,0.99,0.24,0.63,0.14,0.89,80100,4
127,802.01,139410,51,163,492,"1,240","1,077",0.81,0.24,0.66,0.16,0.86,106,0.98,0.99,0.83,0.8,0.63,0.81,0.8412,4,NA,0.99,0.24,0.8,0.16,0.86,80201,4
128,802.02,154138,49,157,472,"1,188","1,034",0.81,0.19,0.58,0.16,0.89,108,0.99,0.99,0.92,0.72,0.63,0.91,0.8608,4,NA,0.99,0.19,0.72,0.16,0.89,80202,4
129,803,115210,167,179,416,"1,634",981,0.78,0.2,0.53,0.16,0.61,194,0.97,0.98,0.9,0.66,0.63,0.03,0.6964,4,NA,0.98,0.2,0.66,0.16,0.61,80300,4
130,804,47064,596,443,579,759,343,0.59,0.73,0.29,0.06,0.65,808,0.51,0.87,0.19,0.18,0.71,0.11,0.4289,2,NA,0.87,0.73,0.18,0.06,0.65,80400,2
131,810,88002,634,596,"1,166","1,756","1,232",0.69,0.34,0.18,0.23,0.89,131,0.94,0.95,0.58,0.04,0.59,0.91,0.6707,4,NA,0.95,0.34,0.04,0.23,0.89,81000,4
132,811,66845,120,249,545,"1,008","1,032",0.77,0.23,0.23,0.19,0.89,67,0.83,0.98,0.85,0.09,0.61,0.91,0.7119,4,NA,0.98,0.23,0.09,0.19,0.89,81100,4
133,812.01,149171,85,171,663,"1,114","1,134",0.79,0.14,0.5,0.18,0.89,88,0.99,0.99,0.97,0.62,0.61,0.91,0.8476,4,NA,0.99,0.14,0.62,0.18,0.89,81201,4
134,812.02,315267,81,176,439,929,"1,017",0.8,0.17,0.72,0.18,0.89,120,1,0.99,0.93,0.84,0.61,0.91,0.881,4,NA,0.99,0.17,0.84,0.18,0.89,81202,4
135,813,162287,77,259,804,"1,366","1,500",0.8,0.22,0.64,0.2,0.89,117,0.99,0.99,0.87,0.78,0.6,0.91,0.8579,4,NA,0.99,0.22,0.78,0.2,0.89,81300,4
136,814.01,152978,48,90,329,676,"1,079",0.84,0.34,0.51,0.22,0.89,71,0.99,1,0.58,0.63,0.59,0.91,0.784,4,NA,1,0.34,0.63,0.22,0.89,81401,4
